model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
"","","","",random %,Country (Intercept),2%,-6%,17%,"",""
"","","","",random %,Country scale(Covid),2%,-6%,17%,"",""
"","","","",random %,Year (Intercept),3%,2%,4%,"",""
"","","","",random %,Residual,63%,39%,81%,"",""
Table S1 - 3a,Period,Gaussian,5106,fixed,(Intercept),0.121,-0.231,0.473,"",""
"","","","",fixed,scale(log(SD)),0.462,0.436,0.489,"",""
"","","","",fixed,scale(log(FlockSize)),-0.01,-0.03,0.011,"",""
"","","","",fixed,scale(log(BodyMass)),-0.003,-0.108,0.101,"",""
"","","","",fixed,scale(sin(rad)),0.029,-0.001,0.059,"",""
"","","","",fixed,scale(cos(rad)),0.032,0.006,0.057,"",""
"","","","",fixed,scale(Temp),-0.01,-0.043,0.024,"",""
"","","","",fixed,scale(Covid),-0.041,-0.206,0.128,"",""
"","","","",random %,sp_day_year (Intercept),12%,4%,15%,"",""
"","","","",random %,sp_loc (Intercept),0%,-1%,0%,"",""
